City,Population,01/04/2020,03/04/2020,05/04/2020,06/04/2020,07/04/2020,09/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,23/04/2020,24/04/2020,26/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,04/05/2020,05/05/2020,06/05/2020,08/05/2020,09/05/2020,10/05/2020,15/05/2020,18/05/2020
שפרעם,40666,0,4.92,4.92,4.92,4.92,4.92,9.84,9.84,14.75,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,9.84,0,0,0,0,0,0,0,0,0,0, 0 , 0 
פרדס חנה-כרכור,40622,0,14.77,14.77,17.23,17.23,17.23,19.69,24.62,24.62,24.62,27.08,27.08,27.08,27.08,27.08,36.93,39.39,19.69,19.69,19.69,22.16,22.16,17.23,17.23,17,12,12,12, 10 , 10 
קרית ים,39556,0,48.03,50.56,53.09,53.09,53.09,53.09,53.09,53.09,53.09,58.15,58.15,58.15,58.15,58.15,60.67,60.67,37.92,37.92,30.34,27.81,25.28,22.75,22.75,23,23,23,23, 23 , 23 
קרית ביאליק,39262,0,17.83,20.38,25.47,25.47,28.02,28.02,30.56,30.56,33.11,38.2,38.2,40.75,40.75,40.75,33.11,33.11,20.38,20.38,20.38,20.38,15.28,12.73,10.19,10,13,13,13, 10 , 10 
מעלה אדומים,37469,0,72.06,77.4,80.07,80.07,88.07,93.41,98.75,104.09,106.75,109.42,109.42,109.42,109.42,109.42,130.77,133.44,74.73,58.72,50.71,48.04,45.37,40.03,40.03,40,35,35,35, 32 , 29 
קרית אונו,37112,0,102.39,110.48,115.87,121.25,123.95,123.95,123.95,132.03,132.03,140.12,140.12,140.12,140.12,142.81,132.03,132.03,51.2,48.5,45.81,45.81,45.81,43.11,40.42,38,40,35,35, 24 , 24 
נתיבות,36511,0,54.78,65.73,73.95,76.69,84.91,84.91,87.64,93.12,95.86,128.73,134.21,136.95,147.9,183.51,224.59,232.81,205.42,205.42,199.94,188.98,183.51,180.77,178.03,159,145,140,137, 82 , 68 
צפת,35671,0,103.73,120.55,123.35,131.76,134.56,145.78,151.38,154.19,156.99,168.2,193.43,196.24,196.24,199.04,185.02,185.02,84.1,72.89,67.28,67.28,58.87,56.07,56.07,48,45,45,45, 36 , 28 
דימונה,35377,0,53.71,62.19,62.19,65.01,70.67,70.67,76.32,76.32,79.15,84.8,84.8,84.8,84.8,84.8,76.32,76.32,22.61,19.79,14.13,16.96,16.96,5.65,5.65,6,6,6,6, 8 , 8 
אור יהודה,34843,160.72,212.38,241.08,266.91,272.65,292.74,315.7,324.31,335.79,344.4,350.14,358.75,364.49,367.36,375.97,390.32,396.06,183.68,160.72,134.89,132.02,129.15,94.71,91.84,86,83,75,72, 77 , 66 
